title,type,release_year,runtime,imdb_score
Menace II Society,MOVIE,1993,97,7.5
Desperado,MOVIE,1995,104,7.1
The Mask of Zorro,MOVIE,1998,136,6.8
The Patriot,MOVIE,2000,165,7.2
Road Trip,MOVIE,2000,93,6.5
Free Willy,MOVIE,1993,112,6.0
3 Ninjas Kick Back,MOVIE,1994,93,4.5
In the Line of Fire,MOVIE,1993,128,7.2
The Replacements,MOVIE,2000,118,6.6
Johnny Mnemonic,MOVIE,1995,97,5.6
Little Women,MOVIE,1994,115,7.3
Anaconda,MOVIE,1997,89,4.8
My Girl,MOVIE,1991,103,6.9
Cliffhanger,MOVIE,1993,112,6.5
I Know What You Did Last Summer,MOVIE,1997,101,5.7
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,MOVIE,1991,88,6.0
Barney & Friends,SHOW,1992,28,3.8
Hollow Man,MOVIE,2000,112,5.8
Godzilla,MOVIE,1998,133,5.4
Neon Genesis Evangelion: The End of Evangelion,MOVIE,1997,87,8.0
Spawn,MOVIE,1997,96,5.2
Dennis the Menace,MOVIE,1993,95,5.6
The Net,MOVIE,1995,114,5.9
The Devil's Own,MOVIE,1997,107,6.2
Croupier,MOVIE,1998,94,7.0
Teenage Mutant Ninja Turtles III,MOVIE,1993,96,4.7
The General's Daughter,MOVIE,1999,116,6.4
The Next Karate Kid,MOVIE,1994,107,4.5
I Still Know What You Did Last Summer,MOVIE,1998,100,4.7
Double Team,MOVIE,1997,93,4.7
Under Suspicion,MOVIE,2000,110,6.5
Moesha,SHOW,1996,21,5.7
"Sister, Sister",SHOW,1994,22,6.2
Cardcaptor Sakura,SHOW,1998,25,8.0
Geronimo: An American Legend,MOVIE,1993,115,6.5
The Mirror Has Two Faces,MOVIE,1996,126,6.6
Girlfriends,SHOW,2000,21,7.2
Knight Rider 2000,MOVIE,1991,91,4.5
The Last Days,MOVIE,1998,87,7.9
The Parkers,SHOW,1999,19,6.8
Heavy,MOVIE,1995,105,6.8
Bill Hicks: Revelations,MOVIE,1993,74,8.5
Sankofa,MOVIE,1993,124,7.0
Dale's Supermarket Sweep,SHOW,1993,21,7.1
Jerry Seinfeld: I'm Telling You for the Last Time,MOVIE,1998,75,7.9
Children of God,MOVIE,1994,63,6.4
Wild Tango,MOVIE,1993,124,6.7
Kuch Kuch Hota Hai,MOVIE,1998,185,7.6
Oggy and the Cockroaches,SHOW,1999,9,7.4
H,SHOW,1998,25,7.4
Herod's Law,MOVIE,1999,120,7.8
Tim Allen: Rewires America,MOVIE,1991,30,5.9
Heartbreak High,SHOW,1994,47,7.8
Dil Se..,MOVIE,1998,163,7.5
Aashik Aawara,MOVIE,1993,153,4.7
Destiny,MOVIE,1997,136,7.1
Oh Darling! Yeh Hai India!,MOVIE,1995,153,4.0
A Triumph of the Heart: The Ricky Bell Story,MOVIE,1991,100,7.2
Bombay,MOVIE,1995,141,8.1
West Beirut,MOVIE,1998,105,7.6
Muthu,MOVIE,1995,165,7.6
Qila,MOVIE,1998,160,4.8
Ram Jaane,MOVIE,1995,172,5.4
Chamatkar,MOVIE,1992,171,6.5
Soldier,MOVIE,1998,156,6.2
Okupas,SHOW,2000,40,9.0
Hum Saath Saath Hain,MOVIE,1999,177,6.2
Kabhi Haan Kabhi Naa,MOVIE,1994,158,7.6
Nightmare in Columbia County,MOVIE,1991,100,5.5
Phir Bhi Dil Hai Hindustani,MOVIE,2000,160,6.1
Jeans,MOVIE,1998,175,6.4
Chaahat,MOVIE,1996,155,5.5
Hum Aapke Hain Koun..!,MOVIE,1994,206,7.5
Maya Memsaab,MOVIE,1993,126,5.4
Out of Life,MOVIE,1991,97,6.9
Duplicate,MOVIE,1998,165,5.5
Govindha Govindha,MOVIE,1993,145,6.6
Damini,MOVIE,1993,180,7.8
English Babu Desi Mem,MOVIE,1996,172,4.5
Before the Flying Circus,MOVIE,2000,55,7.3
Sam Kinison: Live in Vegas,MOVIE,1991,72,6.6
Anjaam,MOVIE,1994,146,6.6
Mann,MOVIE,1999,174,6.1
Monty Python: Live at Aspen,MOVIE,1998,58,7.8
Sinbad: Afros and Bellbottoms,MOVIE,1993,59,7.8
The Other,MOVIE,1999,106,5.9
Sinbad: Son of a Preacher Man,MOVIE,1996,56,6.7
Children of Shatila,MOVIE,1999,50,8.200000000000000
Gumrah,MOVIE,1993,149,6.1
The Emigrant,MOVIE,1994,129,6.5
Yodha,MOVIE,1991,142,4.5
Avvai Shanmugi,MOVIE,1996,160,7.9
Minsara Kanavu,MOVIE,1997,145,6.7
Chronicle of a Disappearance,MOVIE,1996,88,6.9
Yaar Gaddar,MOVIE,1994,147,3.6
Sinbad: Nothin' but the Funk,MOVIE,1998,55,6.2
Dushmani,MOVIE,1995,156,5.0
Fiza,MOVIE,2000,170,6.0
Hello Brother,MOVIE,1999,131,4.6
Shikari,MOVIE,1991,162,5.9
Breaking Bad,SHOW,2008,48,9.5
The Walking Dead,SHOW,2010,46,8.200000000000000
The Staircase,SHOW,2004,49,7.8
Downton Abbey,SHOW,2010,58,8.700000000000000
Grey's Anatomy,SHOW,2005,49,7.6
The Great British Baking Show,SHOW,2010,57,8.6
Criminal Minds,SHOW,2005,44,8.1
NCIS,SHOW,2003,44,7.8
Community,SHOW,2009,23,8.5
Heartland,SHOW,2007,44,8.4
Supernatural,SHOW,2005,45,8.5
Forgetting Sarah Marshall,MOVIE,2008,111,7.1
War of the Worlds,MOVIE,2005,117,6.5
Arrested Development,SHOW,2003,28,8.700000000000000
The IT Crowd,SHOW,2006,25,8.5
30 Rock,SHOW,2006,25,8.3
Avatar: The Last Airbender,SHOW,2005,24,9.3
Inception,MOVIE,2010,148,8.8
The Other Guys,MOVIE,2010,107,6.6
How to Train Your Dragon,MOVIE,2010,98,8.1
Friday Night Lights,SHOW,2006,43,8.700000000000000
Casino Royale,MOVIE,2006,139,8.0
Michael Clayton,MOVIE,2007,120,7.2
My Little Pony: Friendship Is Magic,SHOW,2010,22,7.6
The Fairly OddParents,SHOW,2001,24,7.2
Jackass: The Movie,MOVIE,2002,88,6.6
Sonic X,SHOW,2003,21,6.1
DEATH NOTE,SHOW,2006,24,9.0
Zoolander,MOVIE,2001,90,6.5
The Vampire Diaries,SHOW,2009,42,7.7
Charlie and the Chocolate Factory,MOVIE,2005,106,6.6
Cleaner,MOVIE,2007,88,6.1
Harold & Kumar Go to White Castle,MOVIE,2004,88,7.0
The Social Network,MOVIE,2010,121,7.8
Road to Perdition,MOVIE,2002,117,7.7
Naruto,SHOW,2002,23,8.4
Blow,MOVIE,2001,124,7.5
Shooter,MOVIE,2007,124,7.2
Big Fish,MOVIE,2003,125,8.0
The Bourne Ultimatum,MOVIE,2007,115,8.0
Public Enemies,MOVIE,2009,143,7.0
America's Next Top Model,SHOW,2003,44,5.6
Sherlock Holmes,MOVIE,2009,129,7.6
Love Actually,MOVIE,2003,139,7.6
Closer,MOVIE,2004,94,7.2
Chappelle's Show,SHOW,2003,21,8.8
Something's Gotta Give,MOVIE,2003,128,6.7
Grown Ups,MOVIE,2010,102,5.9
The Blind Side,MOVIE,2009,129,7.6
Quantum of Solace,MOVIE,2008,106,6.6
The Ring,MOVIE,2002,111,7.1
Trailer Park Boys,SHOW,2001,25,8.6
Into the Wild,MOVIE,2007,140,8.1
